STEVAL-MKI196V1 (LSM6DSO)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	A_X [deg] 	 A_Y [deg] 	 A_Z [deg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-21 	 17 	 1017 	-1 	 0 	 88 	-0.175 	 0.65625 	 -0.1925 	
-20 	 17 	 1017 	-1 	 0 	 88 	-0.21875 	 0.58625 	 -0.09625 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.28875 	 0.56875 	 -0.0875 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.28875 	 0.56 	 -0.14875 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.28875 	 0.55125 	 -0.1575 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.35 	 0.60375 	 -0.16625 	
-19 	 16 	 1017 	-1 	 0 	 88 	-0.315 	 0.525 	 -0.14875 	
-21 	 16 	 1017 	-1 	 0 	 88 	-0.3675 	 0.5425 	 -0.18375 	
-20 	 16 	 1018 	-1 	 0 	 88 	-0.3325 	 0.51625 	 -0.1925 	
-20 	 15 	 1018 	-1 	 0 	 88 	-0.34125 	 0.5425 	 -0.18375 	
-21 	 16 	 1016 	-1 	 0 	 88 	-0.315 	 0.56 	 -0.1925 	
-21 	 16 	 1017 	-1 	 0 	 88 	-0.27125 	 0.51625 	 -0.1925 	
-19 	 16 	 1018 	-1 	 0 	 88 	-0.30625 	 0.56 	 -0.245 	
-20 	 16 	 1018 	-1 	 0 	 88 	-0.28875 	 0.49875 	 -0.27125 	
-20 	 15 	 1017 	-1 	 0 	 88 	-0.28 	 0.58625 	 -0.315 	
-20 	 16 	 1018 	-1 	 0 	 88 	-0.25375 	 0.56875 	 -0.315 	
-20 	 16 	 1018 	-1 	 0 	 88 	-0.27125 	 0.525 	 -0.32375 	
-20 	 17 	 1017 	-1 	 0 	 88 	-0.2625 	 0.58625 	 -0.28 	
-19 	 16 	 1018 	-1 	 0 	 88 	-0.2625 	 0.56 	 -0.21875 	
-20 	 17 	 1018 	-1 	 0 	 88 	-0.28875 	 0.595 	 -0.16625 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.23625 	 0.595 	 -0.18375 	
-21 	 16 	 1017 	-1 	 0 	 88 	-0.28875 	 0.56 	 -0.1575 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.35 	 0.525 	 -0.1925 	
-19 	 16 	 1017 	-1 	 0 	 88 	-0.315 	 0.51625 	 -0.21 	
-20 	 16 	 1018 	-1 	 0 	 88 	-0.34125 	 0.56 	 -0.2275 	
-20 	 16 	 1016 	-1 	 0 	 88 	-0.27125 	 0.56875 	 -0.23625 	
-21 	 16 	 1018 	-1 	 0 	 88 	-0.27125 	 0.60375 	 -0.18375 	
-21 	 16 	 1017 	-1 	 0 	 88 	-0.27125 	 0.60375 	 -0.1575 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.245 	 0.51625 	 -0.13125 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.28875 	 0.595 	 -0.035 	
-19 	 16 	 1016 	-1 	 0 	 88 	-0.25375 	 0.55125 	 -0.04375 	
-19 	 15 	 1018 	-1 	 0 	 88 	-0.245 	 0.60375 	 -0.1925 	
-20 	 16 	 1016 	-1 	 0 	 88 	-0.21875 	 0.5775 	 -0.25375 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.21 	 0.58625 	 -0.27125 	
-21 	 16 	 1018 	-1 	 0 	 88 	-0.21875 	 0.60375 	 -0.25375 	
-20 	 16 	 1018 	-1 	 0 	 88 	-0.21 	 0.55125 	 -0.20125 	
-20 	 17 	 1017 	-1 	 0 	 88 	-0.27125 	 0.58625 	 -0.1575 	
-20 	 15 	 1017 	-1 	 0 	 88 	-0.2625 	 0.595 	 -0.1575 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.27125 	 0.595 	 -0.1925 	
-20 	 16 	 1018 	-1 	 0 	 88 	-0.27125 	 0.5425 	 -0.1925 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.25375 	 0.53375 	 -0.21875 	
-20 	 17 	 1018 	-1 	 0 	 88 	-0.27125 	 0.6125 	 -0.27125 	
-21 	 16 	 1016 	-1 	 0 	 88 	-0.2975 	 0.5075 	 -0.23625 	
-20 	 16 	 1018 	-1 	 0 	 88 	-0.32375 	 0.5425 	 -0.18375 	
-19 	 17 	 1017 	-1 	 0 	 88 	-0.315 	 0.51625 	 -0.25375 	
-20 	 21 	 1009 	-1 	 1 	 88 	-0.34125 	 0.525 	 -0.0525 	
-22 	 12 	 1025 	-1 	 0 	 88 	-0.56 	 0.42875 	 0 	
-18 	 14 	 1017 	-1 	 0 	 88 	-0.21875 	 0.53375 	 -0.39375 	
-16 	 13 	 1017 	0 	 0 	 89 	-0.5425 	 0.4375 	 -0.00875 	
-22 	 18 	 1015 	-1 	 1 	 88 	-0.175 	 0.5775 	 -0.35875 	
-24 	 23 	 1017 	-1 	 1 	 88 	-0.2275 	 0.56875 	 -0.42875 	
-15 	 6 	 1022 	0 	 0 	 89 	-0.7875 	 0.32375 	 0.385 	
-24 	 19 	 1012 	-1 	 1 	 88 	-0.16625 	 0.6125 	 -0.2975 	
-30 	 29 	 1009 	-1 	 1 	 88 	-0.5425 	 0.4725 	 0.14875 	
-9 	 6 	 1025 	0 	 0 	 89 	-0.7525 	 0.2975 	 0.62125 	
-34 	 29 	 1012 	-1 	 1 	 88 	-0.28 	 0.6125 	 0.14 	
-5 	 3 	 1023 	0 	 0 	 90 	-0.7 	 0.2975 	 0.98875 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.04375 	 0.67375 	 0.00875 	
-19 	 16 	 1017 	-1 	 0 	 88 	-0.18375 	 0.63 	 0.06125 	
-20 	 15 	 1018 	-1 	 0 	 88 	-0.1575 	 0.595 	 -0.11375 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.21 	 0.58625 	 -0.23625 	
-30 	 27 	 1009 	-1 	 1 	 88 	-0.315 	 0.56 	 0.245 	
-11 	 8 	 1021 	0 	 0 	 89 	-0.58625 	 0.39375 	 0.5425 	
-19 	 14 	 1019 	-1 	 0 	 88 	-0.1925 	 0.62125 	 -0.32375 	
-20 	 16 	 1017 	-1 	 0 	 88 	-0.2625 	 0.56 	 -0.21875 	
-19 	 16 	 1017 	-1 	 0 	 88 	-0.35 	 0.56875 	 -0.16625 	
-20 	 15 	 1018 	-1 	 0 	 88 	-0.385 	 0.49875 	 -0.2275 	
-26 	 20 	 1016 	-1 	 1 	 88 	-0.7525 	 0.3325 	 0.62125 	
-19 	 18 	 1015 	-1 	 1 	 88 	-0.63 	 0.39375 	 0.49875 	
-17 	 8 	 1023 	0 	 0 	 89 	-0.88375 	 0.21 	 0.46375 	
-19 	 15 	 1016 	-1 	 0 	 88 	-0.63875 	 0.39375 	 0.49875 	
