STEVAL-MKI196V1 (LSM6DSO)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	A_X [deg] 	 A_Y [deg] 	 A_Z [deg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	TEMP [C] 	
-8 	 10 	 1016 	0 	 0 	 90 	-0.49875 	 0.70875 	 -0.175 	23.7 	
-8 	 8 	 1019 	0 	 0 	 90 	-0.3675 	 0.665 	 -0.1225 	23.7 	
-8 	 8 	 1019 	0 	 0 	 89 	-0.14875 	 0.525 	 -0.23625 	23.7 	
-8 	 8 	 1020 	0 	 0 	 90 	-0.105 	 0.46375 	 -0.3675 	23.7 	
-7 	 11 	 1015 	0 	 0 	 90 	0.06125 	 0.42 	 -0.35875 	23.6 	
-6 	 12 	 1015 	0 	 0 	 90 	-0.06125 	 0.4375 	 -0.3675 	23.6 	
-6 	 12 	 1016 	0 	 0 	 90 	-0.13125 	 0.5075 	 -0.35 	23.7 	
-7 	 11 	 1016 	0 	 0 	 90 	-0.07 	 0.455 	 -0.315 	23.7 	
-7 	 10 	 1017 	0 	 0 	 90 	-0.0875 	 0.4725 	 -0.315 	23.6 	
-6 	 10 	 1016 	0 	 0 	 90 	-0.1225 	 0.5075 	 -0.3675 	23.6 	
-8 	 10 	 1020 	0 	 0 	 90 	-0.35875 	 0.58625 	 -0.5075 	23.6 	
-7 	 13 	 1015 	0 	 0 	 90 	-0.25375 	 0.51625 	 -0.455 	23.6 	
-6 	 14 	 1016 	0 	 0 	 90 	-0.53375 	 0.5775 	 -0.385 	23.6 	
-7 	 12 	 1020 	0 	 0 	 90 	-0.525 	 0.58625 	 -0.20125 	23.6 	
-7 	 11 	 1017 	0 	 0 	 90 	-0.245 	 0.5075 	 0 	23.7 	
-6 	 10 	 1016 	0 	 0 	 90 	-0.14875 	 0.49875 	 0.0175 	23.7 	
-8 	 9 	 1017 	0 	 0 	 90 	-0.13125 	 0.525 	 -0.1225 	23.6 	
-7 	 9 	 1016 	0 	 0 	 90 	-0.14 	 0.53375 	 -0.13125 	23.6 	
-4 	 7 	 1017 	0 	 0 	 90 	-0.21 	 0.60375 	 -0.14875 	23.6 	
-7 	 9 	 1017 	0 	 0 	 90 	-0.30625 	 0.525 	 -0.455 	23.6 	
-7 	 7 	 1017 	0 	 0 	 90 	-0.2625 	 0.5075 	 -0.67375 	23.6 	
-7 	 7 	 1019 	0 	 0 	 90 	-0.175 	 0.525 	 -0.8925 	23.6 	
-7 	 8 	 1016 	0 	 0 	 90 	-0.0525 	 0.49875 	 -1.35625 	23.6 	
-8 	 17 	 1017 	0 	 0 	 90 	-0.04375 	 0.51625 	 -1.5575 	23.6 	
-8 	 14 	 1024 	0 	 0 	 90 	0.25375 	 0.37625 	 -1.19875 	23.6 	
-6 	 16 	 1010 	0 	 0 	 90 	0.84875 	 0.16625 	 -0.88375 	23.6 	
-7 	 14 	 1014 	0 	 0 	 90 	0.44625 	 0.32375 	 -0.55125 	23.6 	
-8 	 10 	 1014 	0 	 0 	 90 	0.07 	 0.455 	 -0.315 	23.6 	
-8 	 9 	 1018 	0 	 0 	 90 	-0.30625 	 0.63 	 -0.28875 	23.6 	
