STEVAL-MKI196V1 (LSM6DSO)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	A_X [deg] 	 A_Y [deg] 	 A_Z [deg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.28875 	 0.5775 	 -0.1925 	
-24 	 2 	 1017 	-1 	 0 	 88 	-0.30625 	 0.58625 	 -0.20125 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.2275 	 0.5775 	 -0.18375 	
-25 	 4 	 1017 	-1 	 0 	 88 	-0.28 	 0.53375 	 -0.20125 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.32375 	 0.56 	 -0.20125 	
-24 	 2 	 1018 	-1 	 0 	 88 	-0.25375 	 0.56 	 -0.21875 	
-24 	 3 	 1017 	-1 	 0 	 88 	-0.28 	 0.58625 	 -0.21 	
-24 	 2 	 1018 	-1 	 0 	 88 	-0.35 	 0.56875 	 -0.21875 	
-25 	 3 	 1018 	-1 	 0 	 88 	-0.28 	 0.525 	 -0.18375 	
-24 	 3 	 1018 	-1 	 0 	 88 	-0.2975 	 0.56 	 -0.20125 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.315 	 0.56 	 -0.18375 	
-23 	 3 	 1018 	-1 	 0 	 88 	-0.28875 	 0.595 	 -0.175 	
-19 	 10 	 1018 	-1 	 0 	 88 	-0.23625 	 0.55125 	 0.95375 	
-17 	 9 	 1015 	-1 	 0 	 88 	0.0875 	 0.51625 	 5.355 	
-22 	 4 	 1016 	-1 	 0 	 88 	1.2075 	 0.455 	 10.0625 	
-25 	 2 	 1018 	-1 	 0 	 88 	1.925 	 0.3675 	 11.4713 	
-25 	 6 	 1020 	-1 	 0 	 88 	1.645 	 0.35 	 10.5 	
-21 	 8 	 1018 	-1 	 0 	 88 	0.6475 	 0.37625 	 10.29 	
-20 	 -3 	 1019 	-1 	 0 	 88 	0.735 	 0.42 	 12.8363 	
-20 	 -16 	 1016 	-1 	 0 	 88 	-0.53375 	 0.58625 	 13.3875 	
-21 	 0 	 1018 	-1 	 0 	 88 	0.0175 	 0.51625 	 15.2513 	
-31 	 9 	 1019 	-1 	 0 	 88 	0.42 	 0.58625 	 16.555 	
-40 	 16 	 1017 	-2 	 0 	 87 	0.02625 	 0.63 	 10.6575 	
-32 	 6 	 1019 	-1 	 0 	 88 	-0.35 	 0.60375 	 2.9575 	
-25 	 5 	 1017 	-1 	 0 	 88 	-0.49875 	 0.53375 	 -0.93625 	
-24 	 5 	 1017 	-1 	 0 	 88 	-0.4375 	 0.56 	 -1.68 	
